,ID,Day,Hour,Mass,deltaM,Time,GWC,SoilPsi,SoilPsi_VG
Acaexu1.1,Acaexu1,0,16,5948.441667,0,0.666666667,0.093012251,0.4161568,0.508584985
Acaexu1.2,Acaexu1,0,17,5943.4,5.041666667,0.708333333,0.09233833,0.41903254,0.510942131
Acaexu1.3,Acaexu1,0,18,5937.408333,5.991666667,0.75,0.091537424,0.422503748,0.5137745
Acaexu1.4,Acaexu1,0,19,5931.608333,5.8,0.791666667,0.090762137,0.42592071,0.516549123
Acaexu1.5,Acaexu1,0,20,5928.35,3.258333333,0.833333333,0.090326595,0.427865343,0.51812232
Acaexu1.6,Acaexu1,0,21,5928.266667,0.083333333,0.875,0.090315456,0.427915317,0.518162693
Acaexu1.7,Acaexu1,0,22,5928.108333,0.158333333,0.916666667,0.090294291,0.428010301,0.518239422
Acaexu1.8,Acaexu1,0,23,5927.975,0.133333333,0.958333333,0.090276469,0.428090321,0.518304055
Acaexu1.9,Acaexu1,1,0,5927.816667,0.158333333,1,0.090255304,0.428185386,0.518380829
Acaexu1.10,Acaexu1,1,1,5927.708333,0.108333333,1.041666667,0.090240823,0.428250454,0.518433374
Acaexu1.11,Acaexu1,1,2,5927.558333,0.15,1.083333333,0.090220773,0.428340583,0.518506147
Acaexu1.12,Acaexu1,1,3,5927.441667,0.116666667,1.125,0.090205178,0.428410711,0.518562764
Acaexu1.13,Acaexu1,1,4,5927.333333,0.108333333,1.166666667,0.090190697,0.42847585,0.518615349
Acaexu1.14,Acaexu1,1,5,5927.2,0.133333333,1.208333333,0.090172874,0.428556049,0.518680085
Acaexu1.15,Acaexu1,1,6,5927.066667,0.133333333,1.25,0.090155052,0.42863628,0.518744839
Acaexu1.16,Acaexu1,1,7,5926.925,0.141666667,1.291666667,0.090136115,0.428721558,0.518813659
Acaexu1.17,Acaexu1,1,8,5925.216667,1.708333333,1.333333333,0.089907762,0.42975267,0.51964514
Acaexu1.18,Acaexu1,1,9,5919.375,5.841666667,1.375,0.089126906,0.43331743,0.522510777
Acaexu1.19,Acaexu1,1,10,5912.841667,6.533333333,1.416666667,0.088253594,0.437376994,0.525757519
Acaexu1.20,Acaexu1,1,11,5906.091667,6.75,1.458333333,0.087351321,0.44165416,0.52915952
Acaexu1.21,Acaexu1,1,12,5899,7.091666667,1.5,0.086403377,0.446241474,0.532787297
Acaexu1.22,Acaexu1,1,13,5891.808333,7.191666667,1.541666667,0.085442066,0.450994641,0.536523957
Acaexu1.23,Acaexu1,1,14,5884.666667,7.141666667,1.583333333,0.084487439,0.455818933,0.540293918
Acaexu1.24,Acaexu1,1,15,5877.275,7.391666667,1.625,0.083499394,0.460925159,0.54426001
Acaexu1.25,Acaexu1,1,16,5869.958333,7.316666667,1.666666667,0.082521374,0.466096769,0.548252178
Acaexu1.26,Acaexu1,1,17,5862.6,7.358333333,1.708333333,0.081537785,0.4714196,0.552335793
Acaexu1.27,Acaexu1,1,18,5855.691667,6.908333333,1.75,0.080614347,0.476531962,0.556234406
Acaexu1.28,Acaexu1,1,19,5849.025,6.666666667,1.791666667,0.079723213,0.481574766,0.560057953
Acaexu1.29,Acaexu1,1,20,5845.258333,3.766666667,1.833333333,0.079219722,0.48447277,0.562245584
Acaexu1.30,Acaexu1,1,21,5845.075,0.183333333,1.875,0.079195216,0.484614739,0.562352573
Acaexu1.31,Acaexu1,1,22,5844.891667,0.183333333,1.916666667,0.07917071,0.484756793,0.562459611
Acaexu1.32,Acaexu1,1,23,5844.733333,0.158333333,1.958333333,0.079149545,0.484879545,0.56255209
Acaexu1.33,Acaexu1,2,0,5844.608333,0.125,2,0.079132836,0.4849765,0.562625126
Acaexu1.34,Acaexu1,2,1,5844.533333,0.075,2.041666667,0.079122811,0.485034692,0.562668958
Acaexu1.35,Acaexu1,2,2,5844.433333,0.1,2.083333333,0.079109444,0.485112303,0.562727413
Acaexu1.36,Acaexu1,2,3,5844.291667,0.141666667,2.125,0.079090507,0.485222297,0.562810248
Acaexu1.37,Acaexu1,2,4,5844.183333,0.108333333,2.166666667,0.079076027,0.485306444,0.562873613
Acaexu1.38,Acaexu1,2,5,5844.083333,0.1,2.208333333,0.07906266,0.485384145,0.562932118
Acaexu1.39,Acaexu1,2,6,5843.95,0.133333333,2.25,0.079044837,0.485487786,0.563010147
Acaexu1.40,Acaexu1,2,7,5843.733333,0.216666667,2.291666667,0.079015875,0.485656301,0.563136998
Acaexu1.41,Acaexu1,2,8,5841.633333,2.1,2.333333333,0.078735168,0.487295844,0.564369969
Acaexu1.42,Acaexu1,2,9,5835.066667,6.566666667,2.375,0.077857401,0.492496916,0.568266841
Acaexu1.43,Acaexu1,2,10,5827.733333,7.333333333,2.416666667,0.076877153,0.498441833,0.572694667
Acaexu1.44,Acaexu1,2,11,5820.008333,7.725,2.458333333,0.075844551,0.504866002,0.57744867
Acaexu1.45,Acaexu1,2,12,5811.858333,8.15,2.5,0.07475514,0.511830825,0.5825677
Acaexu1.46,Acaexu1,2,13,5803.458333,8.4,2.541666667,0.073632311,0.519219168,0.587959349
Acaexu1.47,Acaexu1,2,14,5794.841667,8.616666667,2.583333333,0.07248052,0.527029529,0.593617077
Acaexu1.48,Acaexu1,2,15,5786.125,8.716666667,2.625,0.071315362,0.535180317,0.599477019
Acaexu1.49,Acaexu1,2,16,5777.341667,8.783333333,2.666666667,0.070141293,0.543659978,0.605526921
Acaexu1.50,Acaexu1,2,17,5768.416667,8.925,2.708333333,0.068948287,0.552564251,0.611830526
Acaexu1.51,Acaexu1,2,18,5759.408333,9.008333333,2.75,0.067744142,0.561861114,0.618360149
Acaexu1.52,Acaexu1,2,19,5750.408333,9,2.791666667,0.066541111,0.571476328,0.625059616
Acaexu1.53,Acaexu1,2,20,5745.358333,5.05,2.833333333,0.065866077,0.577021239,0.628899011
Acaexu1.54,Acaexu1,2,21,5744.966667,0.391666667,2.875,0.065813723,0.577455917,0.62919926
Acaexu1.55,Acaexu1,2,22,5744.633333,0.333333333,2.916666667,0.065769166,0.577826386,0.629455075
Acaexu1.56,Acaexu1,2,23,5744.466667,0.166666667,2.958333333,0.065746888,0.578011803,0.629583081
Acaexu1.57,Acaexu1,3,0,5744.325,0.141666667,3,0.065727951,0.578169505,0.629691937
Acaexu1.58,Acaexu1,3,1,5744.208333,0.116666667,3.041666667,0.065712356,0.578299443,0.629781618
Acaexu1.59,Acaexu1,3,2,5744.083333,0.125,3.083333333,0.065695647,0.578438729,0.629877741
Acaexu1.60,Acaexu1,3,3,5743.966667,0.116666667,3.125,0.065680053,0.578568791,0.629967489
Acaexu1.61,Acaexu1,3,4,5743.833333,0.133333333,3.166666667,0.06566223,0.578717508,0.630070098
Acaexu1.62,Acaexu1,3,5,5743.691667,0.141666667,3.208333333,0.065643293,0.578875605,0.630179166
Acaexu1.63,Acaexu1,3,6,5743.541667,0.15,3.25,0.065623243,0.579043099,0.630294701
Acaexu1.64,Acaexu1,3,7,5743.283333,0.258333333,3.291666667,0.065588711,0.579331795,0.630493802
Acaexu1.65,Acaexu1,3,8,5740.308333,2.975,3.333333333,0.065191043,0.582677909,0.632798135
Acaexu1.66,Acaexu1,3,9,5732.275,8.033333333,3.375,0.064117226,0.59191515,0.639127986
Acaexu1.67,Acaexu1,3,10,5723.508333,8.766666667,3.416666667,0.062945385,0.602345561,0.64622151
Acaexu1.68,Acaexu1,3,11,5714.35,9.158333333,3.458333333,0.061721189,0.613653552,0.653849629
Acaexu1.69,Acaexu1,3,12,5705.566667,8.783333333,3.5,0.06054712,0.624916491,0.66138552
Acaexu1.70,Acaexu1,3,13,5696.608333,8.958333333,3.541666667,0.059349658,0.636850453,0.669305745
Acaexu1.71,Acaexu1,3,14,5687.216667,9.391666667,3.583333333,0.058094273,0.649875648,0.677877405
Acaexu1.72,Acaexu1,3,15,5677.733333,9.483333333,3.625,0.056826635,0.663596114,0.686827993
Acaexu1.73,Acaexu1,3,16,5668.35,9.383333333,3.666666667,0.055572364,0.677771295,0.695994278
Acaexu1.74,Acaexu1,3,17,5659.116667,9.233333333,3.708333333,0.054338143,0.69234137,0.705334077
Acaexu1.75,Acaexu1,3,18,5650.041667,9.075,3.75,0.053125086,0.70730341,0.714842739
Acaexu1.76,Acaexu1,3,19,5641.208333,8.833333333,3.791666667,0.051944334,0.722519984,0.724431456
Acaexu1.77,Acaexu1,3,20,5636.416667,4.791666667,3.833333333,0.051303831,0.731059395,0.729777882
Acaexu1.78,Acaexu1,3,21,5636.241667,0.175,3.875,0.051280439,0.731375199,0.729975137
Acaexu1.79,Acaexu1,3,22,5636.008333,0.233333333,3.916666667,0.051249249,0.731796708,0.730238365
Acaexu1.80,Acaexu1,3,23,5635.858333,0.15,3.958333333,0.051229199,0.732067942,0.730407717
Acaexu1.81,Acaexu1,4,0,5635.733333,0.125,4,0.05121249,0.732294128,0.730548923
Acaexu1.82,Acaexu1,4,1,5635.575,0.158333333,4.041666667,0.051191325,0.732580837,0.73072789
Acaexu1.83,Acaexu1,4,2,5635.441667,0.133333333,4.083333333,0.051173503,0.732822455,0.730878689
Acaexu1.84,Acaexu1,4,3,5635.291667,0.15,4.125,0.051153452,0.733094472,0.731048437
Acaexu1.85,Acaexu1,4,4,5635.166667,0.125,4.166666667,0.051136743,0.73332131,0.731189974
Acaexu1.86,Acaexu1,4,5,5635.041667,0.125,4.208333333,0.051120035,0.733548294,0.731331585
Acaexu1.87,Acaexu1,4,6,5634.891667,0.15,4.25,0.051099984,0.733820864,0.731501614
Acaexu1.88,Acaexu1,4,7,5634.691667,0.2,4.291666667,0.05107325,0.734184616,0.731728484
Acaexu1.89,Acaexu1,4,8,5632.016667,2.675,4.333333333,0.050715683,0.739085677,0.734781039
Acaexu1.90,Acaexu1,4,9,5624.766667,7.25,4.375,0.049746574,0.752713648,0.743228605
Acaexu1.91,Acaexu1,4,10,5617.091667,7.675,4.416666667,0.048720656,0.767715288,0.752461157
Acaexu1.92,Acaexu1,4,11,5609.1,7.991666667,4.458333333,0.047652409,0.784003782,0.762410143
Acaexu1.93,Acaexu1,4,12,5600.933333,8.166666667,4.5,0.04656077,0.801400185,0.772952951
Acaexu1.94,Acaexu1,4,13,5592.991667,7.941666667,4.541666667,0.045499206,0.819096187,0.783593653
Acaexu1.95,Acaexu1,4,14,5585.391667,7.6,4.583333333,0.044483313,0.836800328,0.794158855
Acaexu1.96,Acaexu1,4,15,5578.008333,7.383333333,4.625,0.043496382,0.854770257,0.804804367
Acaexu1.97,Acaexu1,4,16,5570.833333,7.175,4.666666667,0.042537299,0.873010397,0.815533124
Acaexu1.98,Acaexu1,4,17,5563.833333,7,4.708333333,0.041601608,0.891594207,0.826388224
Acaexu1.99,Acaexu1,4,18,5557.141667,6.691666667,4.75,0.040707132,0.910136537,0.837146482
Acaexu1.100,Acaexu1,4,19,5550.85,6.291666667,4.791666667,0.039866124,0.928308904,0.847623035
Acaexu1.101,Acaexu1,4,20,5547.725,3.125,4.833333333,0.039448405,0.937615181,0.852963504
Acaexu1.102,Acaexu1,4,21,5547.65,0.075,4.875,0.03943838,0.937840889,0.853092826
Acaexu1.103,Acaexu1,4,22,5547.491667,0.158333333,4.916666667,0.039417216,0.938317753,0.853366017
Acaexu1.104,Acaexu1,4,23,5547.325,0.166666667,4.958333333,0.039394937,0.938820253,0.853653849
Acaexu1.105,Acaexu1,5,0,5547.158333,0.166666667,5,0.039372659,0.939323306,0.853941952
Acaexu1.106,Acaexu1,5,1,5547.041667,0.116666667,5.041666667,0.039357064,0.939675774,0.854143784
Acaexu1.107,Acaexu1,5,2,5546.9,0.141666667,5.083333333,0.039338127,0.940104135,0.854389045
Acaexu1.108,Acaexu1,5,3,5546.766667,0.133333333,5.125,0.039320305,0.940507666,0.854620058
Acaexu1.109,Acaexu1,5,4,5546.625,0.141666667,5.166666667,0.039301368,0.940936809,0.854865699
Acaexu1.110,Acaexu1,5,5,5546.491667,0.133333333,5.208333333,0.039283545,0.941341075,0.85509707
Acaexu1.111,Acaexu1,5,6,5546.35,0.141666667,5.25,0.039264609,0.941770999,0.855343092
Acaexu1.112,Acaexu1,5,7,5546.2,0.15,5.291666667,0.039244558,0.942226654,0.855603801
Acaexu1.113,Acaexu1,5,8,5544.075,2.125,5.333333333,0.038960509,0.9487308,0.859321075
Acaexu1.114,Acaexu1,5,9,5538.783333,5.291666667,5.375,0.038253172,0.965335876,0.868776686
Acaexu1.115,Acaexu1,5,10,5533.416667,5.366666667,5.416666667,0.037535809,0.982798241,0.878668673
Acaexu1.116,Acaexu1,5,11,5527.85,5.566666667,5.458333333,0.036791712,1.001611444,0.889269056
Acaexu1.117,Acaexu1,5,12,5522.241667,5.608333333,5.5,0.036042045,1.02132978,0.900319107
Acaexu1.118,Acaexu1,5,13,5516.791667,5.45,5.541666667,0.035313543,1.041271828,0.91143473
Acaexu1.119,Acaexu1,5,14,5511.608333,5.183333333,5.583333333,0.034620686,1.060995743,0.922372496
Acaexu1.120,Acaexu1,5,15,5506.591667,5.016666667,5.625,0.033950108,1.080831384,0.933318526
Acaexu1.121,Acaexu1,5,16,5501.766667,4.825,5.666666667,0.033305149,1.100642401,0.944199835
Acaexu1.122,Acaexu1,5,17,5497.075,4.691666667,5.708333333,0.032678014,1.120635614,0.95513194
Acaexu1.123,Acaexu1,5,18,5492.575,4.5,5.75,0.032076498,1.140526762,0.965961522
Acaexu1.124,Acaexu1,5,19,5488.375,4.2,5.791666667,0.031515084,1.159758425,0.976389912
Acaexu1.125,Acaexu1,5,20,5486.466667,1.908333333,5.833333333,0.031259996,1.168718745,0.981235076
Acaexu1.126,Acaexu1,5,21,5486.425,0.041666667,5.875,0.031254427,1.168915973,0.98134163
Acaexu1.127,Acaexu1,5,22,5486.283333,0.141666667,5.916666667,0.03123549,1.169587062,0.981704158
Acaexu1.128,Acaexu1,5,23,5486.091667,0.191666667,5.958333333,0.03120987,1.170496267,0.982195246
Acaexu1.129,Acaexu1,6,0,5485.95,0.141666667,6,0.031190934,1.171169223,0.982558673
Acaexu1.130,Acaexu1,6,1,5485.783333,0.166666667,6.041666667,0.031168655,1.171961955,0.982986724
Acaexu1.131,Acaexu1,6,2,5485.65,0.133333333,6.083333333,0.031150832,1.172596936,0.983329548
Acaexu1.132,Acaexu1,6,3,5485.558333,0.091666667,6.125,0.031138579,1.173033895,0.983565437
Acaexu1.133,Acaexu1,6,4,5485.391667,0.166666667,6.166666667,0.031116301,1.173829225,0.983994738
Acaexu1.134,Acaexu1,6,5,5485.291667,0.1,6.208333333,0.031102934,1.174306956,0.984252575
Acaexu1.135,Acaexu1,6,6,5485.141667,0.15,6.25,0.031082883,1.175024302,0.984639691
Acaexu1.136,Acaexu1,6,7,5484.966667,0.175,6.291666667,0.031059491,1.175862344,0.985091875
Acaexu1.137,Acaexu1,6,8,5483.208333,1.758333333,6.333333333,0.030824455,1.184351394,0.9896683
Acaexu1.138,Acaexu1,6,9,5479.166667,4.041666667,6.375,0.030284205,1.204350249,1.000421418
Acaexu1.139,Acaexu1,6,10,5475.491667,3.675,6.416666667,0.029792967,1.223147399,1.010493733
Acaexu1.140,Acaexu1,6,11,5471.708333,3.783333333,6.458333333,0.029287248,1.243139645,1.021171425
Acaexu1.141,Acaexu1,6,12,5467.841667,3.866666667,6.5,0.02877039,1.264278901,1.032424512
Acaexu1.142,Acaexu1,6,13,5464.15,3.691666667,6.541666667,0.028276925,1.285163101,1.043506305
Acaexu1.143,Acaexu1,6,14,5460.616667,3.533333333,6.583333333,0.027804624,1.305827167,1.054438485
Acaexu1.144,Acaexu1,6,15,5457.2,3.416666667,6.625,0.027347918,1.326469427,1.065328394
Acaexu1.145,Acaexu1,6,16,5453.833333,3.366666667,6.666666667,0.026897895,1.347476809,1.076381212
Acaexu1.146,Acaexu1,6,17,5450.708333,3.125,6.708333333,0.026480176,1.367598023,1.086941332
Acaexu1.147,Acaexu1,6,18,5447.941667,2.766666667,6.75,0.026110355,1.385934868,1.096543738
Acaexu1.148,Acaexu1,6,19,5445.183333,2.758333333,6.791666667,0.025741648,1.404726889,1.106364708
Acaexu1.149,Acaexu1,6,20,5444.041667,1.141666667,6.833333333,0.025589042,1.412659077,1.110504446
Acaexu1.150,Acaexu1,6,21,5444.041667,0,6.875,0.025589042,1.412659077,1.110504446
Acaexu1.151,Acaexu1,6,22,5443.883333,0.158333333,6.916666667,0.025567877,1.41376644,1.111082106
Acaexu1.152,Acaexu1,6,23,5443.658333,0.225,6.958333333,0.025537801,1.415343134,1.111904484
Acaexu1.153,Acaexu1,7,0,5443.425,0.233333333,7,0.025506612,1.416982047,1.11275918
Acaexu1.154,Acaexu1,7,1,5443.258333,0.166666667,7.041666667,0.025484333,1.418155091,1.113370838
Acaexu1.155,Acaexu1,7,2,5443.108333,0.15,7.083333333,0.025464283,1.419212538,1.113922162
Acaexu1.156,Acaexu1,7,3,5442.916667,0.191666667,7.125,0.025438663,1.420566083,1.114627779
Acaexu1.157,Acaexu1,7,4,5442.766667,0.15,7.166666667,0.025418612,1.421627231,1.115180901
Acaexu1.158,Acaexu1,7,5,5442.65,0.116666667,7.208333333,0.025403017,1.422453696,1.115611656
Acaexu1.159,Acaexu1,7,6,5442.475,0.175,7.25,0.025379625,1.423695247,1.11625869
Acaexu1.160,Acaexu1,7,7,5442.358333,0.116666667,7.291666667,0.02536403,1.424524187,1.116690648
Acaexu1.161,Acaexu1,7,8,5440.833333,1.525,7.333333333,0.025160183,1.435451596,1.122381711
Acaexu1.162,Acaexu1,7,9,5437.45,3.383333333,7.375,0.024707933,1.460321373,1.135312906
Acaexu1.163,Acaexu1,7,10,5434.666667,2.783333333,7.416666667,0.024335884,1.481455086,1.146279918
Acaexu1.164,Acaexu1,7,11,5431.9,2.766666667,7.458333333,0.023966063,1.503095037,1.15749072
Acaexu1.165,Acaexu1,7,12,5429.116667,2.783333333,7.5,0.023594015,1.525531459,1.169095575
Acaexu1.166,Acaexu1,7,13,5426.45,2.666666667,7.541666667,0.023237561,1.547683209,1.180536259
Acaexu1.167,Acaexu1,7,14,5426.3,0.15,7.583333333,0.023217511,1.548948913,1.18118948
Acaexu2.168,Acaexu2,0,16,4818.891667,0,0.666666667,0.088634003,0.435599103,0.524337764
Acaexu2.169,Acaexu2,0,17,4808.741667,10.15,0.708333333,0.086725826,0.444670113,0.531547026
Acaexu2.170,Acaexu2,0,18,4797.233333,11.50833333,0.75,0.084562287,0.455436852,0.539996157
Acaexu2.171,Acaexu2,0,19,4785.925,11.30833333,0.791666667,0.082436346,0.466552025,0.54860244
Acaexu2.172,Acaexu2,0,20,4779.433333,6.491666667,0.833333333,0.081215928,0.473188622,0.553687402
Acaexu2.173,Acaexu2,0,21,4779.175,0.258333333,0.875,0.081167362,0.473456742,0.553892018
Acaexu2.174,Acaexu2,0,22,4778.941667,0.233333333,0.916666667,0.081123496,0.473699183,0.554076983
Acaexu2.175,Acaexu2,0,23,4778.708333,0.233333333,0.958333333,0.08107963,0.47394188,0.554262091
Acaexu2.176,Acaexu2,1,0,4778.483333,0.225,1,0.08103733,0.474176151,0.554440725
Acaexu2.177,Acaexu2,1,1,4778.341667,0.141666667,1.041666667,0.081010697,0.474323777,0.554553267
Acaexu2.178,Acaexu2,1,2,4778.158333,0.183333333,1.083333333,0.080976231,0.474514963,0.554698988
Acaexu2.179,Acaexu2,1,3,4778.016667,0.141666667,1.125,0.080949598,0.474662807,0.554811652
Acaexu2.180,Acaexu2,1,4,4777.875,0.141666667,1.166666667,0.080922965,0.474810745,0.554924368
Acaexu2.181,Acaexu2,1,5,4777.758333,0.116666667,1.208333333,0.080901032,0.474932647,0.555017234
Acaexu2.182,Acaexu2,1,6,4777.591667,0.166666667,1.25,0.080869699,0.475106905,0.555149962
Acaexu2.183,Acaexu2,1,7,4777.35,0.241666667,1.291666667,0.080824266,0.475359813,0.555342549
Acaexu2.184,Acaexu2,1,8,4773.316667,4.033333333,1.333333333,0.080066009,0.479621997,0.558579888
Acaexu2.185,Acaexu2,1,9,4761.891667,11.425,1.375,0.077918136,0.492133367,0.567995161
Acaexu2.186,Acaexu2,1,10,4749.766667,12.125,1.416666667,0.075638664,0.506167313,0.578407851
Acaexu2.187,Acaexu2,1,11,4737.308333,12.45833333,1.458333333,0.073296526,0.521471464,0.58959524
Acaexu2.188,Acaexu2,1,12,4724.833333,12.475,1.5,0.070951255,0.537780835,0.601337349
Acaexu2.189,Acaexu2,1,13,4712.575,12.25833333,1.541666667,0.068646717,0.554862782,0.613449752
Acaexu2.190,Acaexu2,1,14,4700.558333,12.01666667,1.583333333,0.066387612,0.572727567,0.625927512
Acaexu2.191,Acaexu2,1,15,4688.458333,12.1,1.625,0.06411284,0.591953497,0.639154169
Acaexu2.192,Acaexu2,1,16,4676.583333,11.875,1.666666667,0.061880368,0.612158575,0.652844773
Acaexu2.193,Acaexu2,1,17,4664.925,11.65833333,1.708333333,0.059688628,0.633424966,0.667038997
Acaexu2.194,Acaexu2,1,18,4653.875,11.05,1.75,0.057611254,0.655034357,0.681251974
Acaexu2.195,Acaexu2,1,19,4643.425,10.45,1.791666667,0.055646678,0.67691409,0.69544224
Acaexu2.196,Acaexu2,1,20,4637.766667,5.658333333,1.833333333,0.054582925,0.68940071,0.703455536
Acaexu2.197,Acaexu2,1,21,4637.483333,0.283333333,1.875,0.054529659,0.690038427,0.703863195
Acaexu2.198,Acaexu2,1,22,4637.333333,0.15,1.916666667,0.054501459,0.690376533,0.704079267
Acaexu2.199,Acaexu2,1,23,4637.15,0.183333333,1.958333333,0.054466993,0.690790236,0.704343592
Acaexu2.200,Acaexu2,2,0,4637,0.15,2,0.054438793,0.6911291,0.704560052
Acaexu2.201,Acaexu2,2,1,4636.833333,0.166666667,2.041666667,0.05440746,0.691506017,0.704800769
Acaexu2.202,Acaexu2,2,2,4636.616667,0.216666667,2.083333333,0.054366728,0.691996641,0.705114026
Acaexu2.203,Acaexu2,2,3,4636.466667,0.15,2.125,0.054338528,0.692336723,0.705331111
Acaexu2.204,Acaexu2,2,4,4636.316667,0.15,2.166666667,0.054310328,0.692677149,0.705548372
Acaexu2.205,Acaexu2,2,5,4636.15,0.166666667,2.208333333,0.054278995,0.693055804,0.705789981
Acaexu2.206,Acaexu2,2,6,4636,0.15,2.25,0.054250796,0.693396958,0.706007615
Acaexu2.207,Acaexu2,2,7,4635.8,0.2,2.291666667,0.054213196,0.693852366,0.706298069
Acaexu2.208,Acaexu2,2,8,4632.608333,3.191666667,2.333333333,0.05361317,0.701204057,0.710976316
Acaexu2.209,Acaexu2,2,9,4624.2,8.408333333,2.375,0.052032423,0.721361555,0.723704284
Acaexu2.210,Acaexu2,2,10,4615.5,8.7,2.416666667,0.050396843,0.743512991,0.737531856
Acaexu2.211,Acaexu2,2,11,4606.741667,8.758333333,2.458333333,0.048750297,0.767273232,0.752190069
Acaexu2.212,Acaexu2,2,12,4598.316667,8.425,2.5,0.047166417,0.791651753,0.767055379
Acaexu2.213,Acaexu2,2,13,4590.241667,8.075,2.541666667,0.045648336,0.816561866,0.782074773
Acaexu2.214,Acaexu2,2,14,4582.541667,7.7,2.583333333,0.044200754,0.841865318,0.79716721
Acaexu2.215,Acaexu2,2,15,4575.266667,7.275,2.625,0.042833071,0.867300525,0.812182703
Acaexu2.216,Acaexu2,2,16,4568.308333,6.958333333,2.666666667,0.04152492,0.893153451,0.827295641
Acaexu2.217,Acaexu2,2,17,4561.775,6.533333333,2.708333333,0.040296669,0.918913517,0.842214591
Acaexu2.218,Acaexu2,2,18,4555.558333,6.216666667,2.75,0.03912795,0.944885626,0.857124405
Acaexu2.219,Acaexu2,2,19,4549.808333,5.75,2.791666667,0.038046963,0.970289833,0.871588274
Acaexu2.220,Acaexu2,2,20,4546.733333,3.075,2.833333333,0.03746887,0.984460875,0.879607827
Acaexu2.221,Acaexu2,2,21,4546.308333,0.425,2.875,0.037388971,0.986453024,0.880732507
Acaexu2.222,Acaexu2,2,22,4546.108333,0.2,2.916666667,0.037351372,0.987393377,0.881263161
Acaexu2.223,Acaexu2,2,23,4545.941667,0.166666667,2.958333333,0.037320039,0.988178413,0.881706056
Acaexu2.224,Acaexu2,3,0,4545.766667,0.175,3,0.037287139,0.989004083,0.882171766
Acaexu2.225,Acaexu2,3,1,4545.616667,0.15,3.041666667,0.03725894,0.98971293,0.882571494
Acaexu2.226,Acaexu2,3,2,4545.5,0.116666667,3.083333333,0.037237007,0.990264978,0.882882745
Acaexu2.227,Acaexu2,3,3,4545.375,0.125,3.125,0.037213507,0.990857161,0.883216568
Acaexu2.228,Acaexu2,3,4,4545.291667,0.083333333,3.166666667,0.03719784,0.991252355,0.883439313
Acaexu2.229,Acaexu2,3,5,4545.225,0.066666667,3.208333333,0.037185307,0.991568743,0.883617623
Acaexu2.230,Acaexu2,3,6,4545.133333,0.091666667,3.25,0.037168074,0.992004116,0.883862962
Acaexu2.231,Acaexu2,3,7,4544.983333,0.15,3.291666667,0.037139875,0.992717392,0.884264839
Acaexu2.232,Acaexu2,3,8,4542.508333,2.475,3.333333333,0.03667458,1.00464059,0.890970515
Acaexu2.233,Acaexu2,3,9,4537,5.508333333,3.375,0.035639026,1.032263941,0.906421023
Acaexu2.234,Acaexu2,3,10,4531.725,5.275,3.416666667,0.034647339,1.060222805,0.921944888
Acaexu2.235,Acaexu2,3,11,4526.758333,4.966666667,3.458333333,0.033713617,1.088009919,0.937267146
Acaexu2.236,Acaexu2,3,12,4522.675,4.083333333,3.5,0.03294596,1.112002772,0.950417496
Acaexu2.237,Acaexu2,3,13,4517.991667,4.683333333,3.541666667,0.032065504,1.140897073,0.966162708
Acaexu2.238,Acaexu2,3,14,4513.466667,4.525,3.583333333,0.031214815,1.170320681,0.982100413
Acaexu2.239,Acaexu2,3,15,4509.158333,4.308333333,3.625,0.030404858,1.199823926,0.997991071
Acaexu2.240,Acaexu2,3,16,4505.016667,4.141666667,3.666666667,0.029626234,1.229665301,1.013978767
Acaexu2.241,Acaexu2,3,17,4501.041667,3.975,3.708333333,0.028878944,1.259778018,1.030031652
Acaexu2.242,Acaexu2,3,18,4497.383333,3.658333333,3.75,0.028191186,1.288864281,1.045466732
Acaexu2.243,Acaexu2,3,19,4494.066667,3.316666667,3.791666667,0.02756766,1.316454377,1.060048637
Acaexu2.244,Acaexu2,3,20,4492.566667,1.5,3.833333333,0.027285663,1.329335285,1.066837961
Acaexu2.245,Acaexu2,3,21,4492.316667,0.25,3.875,0.027238664,1.331507342,1.067981706
Acaexu2.246,Acaexu2,3,22,4492.125,0.191666667,3.916666667,0.027202631,1.333177534,1.068860967
Acaexu2.247,Acaexu2,3,23,4492.016667,0.108333333,3.958333333,0.027182265,1.334123463,1.069358863
Acaexu2.248,Acaexu2,4,0,4491.883333,0.133333333,4,0.027157198,1.335289578,1.069972573
Acaexu2.249,Acaexu2,4,1,4491.75,0.133333333,4.041666667,0.027132132,1.336457792,1.070587297
Acaexu2.250,Acaexu2,4,2,4491.616667,0.133333333,4.083333333,0.027107066,1.337628108,1.071203037
Acaexu2.251,Acaexu2,4,3,4491.491667,0.125,4.125,0.027083566,1.338727195,1.07178122
Acaexu2.252,Acaexu2,4,4,4491.341667,0.15,4.166666667,0.027055366,1.340048552,1.072476224
Acaexu2.253,Acaexu2,4,5,4491.225,0.116666667,4.208333333,0.027033433,1.34107813,1.07301768
Acaexu2.254,Acaexu2,4,6,4491.125,0.1,4.25,0.027014633,1.341961921,1.073482412
Acaexu2.255,Acaexu2,4,7,4491.05,0.075,4.291666667,0.027000534,1.34262555,1.07383134
Acaexu2.256,Acaexu2,4,8,4488.866667,2.183333333,4.333333333,0.026590072,1.362244744,1.084134234
Acaexu2.257,Acaexu2,4,9,4484.741667,4.125,4.375,0.025814582,1.400968205,1.104401915
