"UniqueID","Period","Area"
"Colmop01","Final",246.443839072187
"Colmop02","Final",126.775153129114
"Colmop03","Final",193.48940275356
"Colmop04","Final",328.695485642197
"Colmop05","Final",162.190796505571
"Colmop06","Final",234.935975439359
"Colmop07","Final",345.899225550672
"Colmop08","Final",237.77661361386
"Comapi01","Final",828.073682532332
"Comapi02","Final",950.79818911653
"Diccin01","Final",459.531984607419
"Diccin02","Final",825.978498770816
"Diccin03","Final",433.490828677683
"Diccin04","Final",785.159513461617
"Diccin05","Final",696.800918236418
"Diccin06","Final",772.22805537846
"Diccin07","Final",768.548024465809
"Diccin08","Final",788.347651403429
"Erasup01","Final",1315.50085042991
"Erasup02","Final",833.411666246523
"Erasup03","Final",874.598758725843
"Erasup04","Final",1064.45925347009
"Erasup05","Final",751.054474974792
"Hypdis01","Final",1185.02812301476
"Hypdis02","Final",889.516605621361
"Hypdis03","Final",968.920257037724
"Hypdis04","Final",908.358682820666
"Hypdis05","Final",775.51948186343
"Panmax01","Final",1122.86217544697
"Panmax02","Final",853.019180794637
"Panmax03","Final",973.557626739728
"Panmax04","Final",1215.93471035913
"Panmax05","Final",1030.48970247664
"Perpat01","Final",716.739787414587
"Perpat02","Final",844.242293570968
"Perpat03","Final",639.11128952833
"Perpat04","Final",357.873068994561
"Perpat05","Final",640.792222222222
"Pogsqu01","Final",369.122448658367
"Pogsqu02","Final",885.472169322425
"Pogsqu03","Final",698.294349841026
"Pogsqu04","Final",879.004919158088
"Pogsqu05","Final",814.661682786323
"Sclbir01","Final",472.741903424812
"Sclbir02","Final",443.073079932567
"Sclbir03","Final",278.203158233012
"Sclbir04","Final",354.274011383639
"Sclbir05","Final",365.903243919912
"Sclbir06","Final",367.771292856388
"Sclbir07","Final",337.857949560103
"Sclbir08","Final",362.478433346453
"Sclbir09","Final",352.694875177928
"Sclbir10","Final",344.813203657299
"Terser01","Final",449.773899267915
"Colmop01","Initial",83.0161392196192
"Colmop02","Initial",30.8583989501704
"Colmop03","Initial",57.7113243746521
"Colmop04","Initial",89.4927568320496
"Colmop05","Initial",57.3951571397845
"Colmop06","Initial",90.6826036822259
"Colmop07","Initial",98.8688468517737
"Colmop08","Initial",95.6164183259936
"Comapi01","Initial",144.81817204285
"Comapi02","Initial",141.177238398296
"Diccin01","Initial",160.579423814337
"Diccin02","Initial",246.805479254783
"Diccin03","Initial",143.064939090953
"Diccin04","Initial",262.137282604477
"Diccin05","Initial",258.104923414732
"Diccin06","Initial",146.745636545219
"Diccin07","Initial",310.264373653683
"Diccin08","Initial",244.935582669869
"Erasup01","Initial",161.683807924836
"Erasup02","Initial",444.309167698812
"Erasup03","Initial",413.17704586008
"Erasup04","Initial",76.8652497332571
"Erasup05","Initial",93.6795171830603
"Hypdis01","Initial",431.196577944105
"Hypdis02","Initial",417.126264799459
"Hypdis03","Initial",141.49398685935
"Hypdis04","Initial",220.469604209503
"Hypdis05","Initial",63.5231457746089
"Panmax01","Initial",334.779011653847
"Panmax02","Initial",280.286304279526
"Panmax03","Initial",312.855089629092
"Panmax04","Initial",473.85060708419
"Panmax05","Initial",348.952873478951
"Perpat01","Initial",87.7424603997889
"Perpat02","Initial",149.698003671134
"Perpat03","Initial",89.2298619134413
"Perpat04","Initial",124.310802608432
"Perpat05","Initial",396.727545999723
"Pogsqu01","Initial",267.602902629684
"Pogsqu02","Initial",327.729834388328
"Pogsqu03","Initial",130.578391359546
"Pogsqu04","Initial",112.843219410149
"Pogsqu05","Initial",208.100296473016
"Sclbir01","Initial",152.373996011674
"Sclbir02","Initial",100.379528167936
"Sclbir03","Initial",98.4034016848224
"Sclbir04","Initial",93.1230329181651
"Sclbir05","Initial",113.417222131717
"Sclbir06","Initial",121.58491171401
"Sclbir07","Initial",90.5906494349312
"Sclbir08","Initial",114.07673458966
"Sclbir09","Initial",113.364830783251
"Sclbir10","Initial",128.050715355744
"Terser01","Initial",88.8440200364842
