ID,Species,yday,Hour,Day,Mass,deltaM,Temp,RH,VPD,gwc,WP,Rad_weighted,Shoot,Leaf,deltaM.Leaf,deltaM.Shoot,Batch,Group
Acaexu1,Acaexu,269,6,3,5743.541667,0.15,23.4,97.825,0.062599334,0.065943577,-0.628451807,797.4169494,6.0147,2.924,0.05129959,0.0249389,14,Tree
Acaexu1,Acaexu,268,23,2,5744.466667,0.166666667,23.4,94.04166667,0.171488596,0.066065076,-0.62775764,797.4169494,6.0147,2.924,0.056999544,0.027709889,14,Tree
Acaexu1,Acaexu,270,9,4,5624.766667,7.25,25.78333333,80.25,0.653932386,0.05034252,-0.737998333,797.4169494,6.0147,2.924,2.479480164,1.205380152,14,Tree
Acaexu1,Acaexu,272,22,6,5443.883333,0.158333333,23.43333333,91.15833333,0.254940149,0.026583554,-1.084292508,797.4169494,6.0147,2.924,0.054149567,0.026324394,14,Tree
Acaexu1,Acaexu,271,6,5,5546.35,0.141666667,23.4,97.78333333,0.063798555,0.040042517,-0.845389349,797.4169494,6.0147,2.924,0.048449612,0.023553405,14,Tree
Acaexu1,Acaexu,267,1,1,5927.708333,0.108333333,23.5,96.425,0.103515225,0.090133808,-0.51882027,797.4169494,6.0147,2.924,0.037049704,0.018011428,14,Tree
Acaexu1,Acaexu,268,2,2,5844.433333,0.1,23.5,97.18333333,0.08155745,0.079195664,-0.562348198,797.4169494,6.0147,2.924,0.034199726,0.016625933,14,Tree
Acaexu1,Acaexu,272,23,6,5443.658333,0.225,23.5,93.59166667,0.185555264,0.026554001,-1.085045681,797.4169494,6.0147,2.924,0.076949384,0.03740835,14,Tree
Acaexu1,Acaexu,272,3,6,5485.558333,0.091666667,23.5,97.25,0.079627096,0.032057552,-0.966301053,797.4169494,6.0147,2.924,0.031349749,0.015240439,14,Tree
Acaexu1,Acaexu,273,6,7,5442.475,0.175,23.5,97.54166667,0.071181798,0.02639857,-1.089031756,797.4169494,6.0147,2.924,0.059849521,0.029095383,14,Tree
Acaexu1,Acaexu,272,0,6,5485.95,0.141666667,23.4,95.53333333,0.128556486,0.032108997,-0.965360245,797.4169494,6.0147,2.924,0.048449612,0.023553405,14,Tree
Acaexu1,Acaexu,271,1,5,5547.041667,0.116666667,23.46666667,96.40833333,0.103783208,0.040133367,-0.844248445,797.4169494,6.0147,2.924,0.039899681,0.019396922,14,Tree
Acaexu1,Acaexu,272,11,6,5471.708333,3.783333333,26.23333333,73.75,0.894507727,0.030238359,-1.001341896,797.4169494,6.0147,2.924,1.293889649,0.62901447,14,Tree
Acaexu1,Acaexu,268,19,2,5750.408333,9,26.225,71.20833333,0.980689414,0.066845512,-0.623344052,797.4169494,6.0147,2.924,3.077975376,1.496333982,14,Tree
Acaexu1,Acaexu,272,17,6,5450.708333,3.125,26.39166667,69.84166667,1.037433877,0.027480016,-1.062137828,797.4169494,6.0147,2.924,1.06874145,0.51956041,14,Tree
Acaexu1,Acaexu,272,9,6,5479.166667,4.041666667,26.00833333,80.43333333,0.656600113,0.031218009,-0.982031831,797.4169494,6.0147,2.924,1.382238942,0.671964797,14,Tree
Acaexu1,Acaexu,266,20,0,5928.35,3.258333333,23.46666667,73.48333333,0.772954872,0.090218091,-0.518514113,797.4169494,6.0147,2.924,1.114341085,0.541728321,14,Tree
Acaexu1,Acaexu,266,21,0,5928.266667,0.083333333,23.36666667,88.40833333,0.332740287,0.090207145,-0.518553851,797.4169494,6.0147,2.924,0.028499772,0.013854944,14,Tree
Acaexu1,Acaexu,267,4,1,5927.333333,0.108333333,23.4,97.40833333,0.074591543,0.090084552,-0.518999378,797.4169494,6.0147,2.924,0.037049704,0.018011428,14,Tree
Acaexu1,Acaexu,268,11,2,5820.008333,7.725,25.48333333,73.15833333,0.875081977,0.075987449,-0.576782545,797.4169494,6.0147,2.924,2.641928865,1.284353334,14,Tree
Acaexu1,Acaexu,268,6,2,5843.95,0.133333333,23.4,97.8,0.063318866,0.079132179,-0.56262558,797.4169494,6.0147,2.924,0.045599635,0.022167911,14,Tree
Acaexu1,Acaexu,271,23,5,5486.091667,0.191666667,23.4,93.96666667,0.173647194,0.032127605,-0.965020592,797.4169494,6.0147,2.924,0.065549476,0.031866372,14,Tree
Acaexu1,Acaexu,271,3,5,5546.766667,0.133333333,23.5,97.14166667,0.082763921,0.040097246,-0.844701545,797.4169494,6.0147,2.924,0.045599635,0.022167911,14,Tree
Acaexu1,Acaexu,272,19,6,5445.183333,2.758333333,26.23333333,68.83333333,1.062182081,0.026754309,-1.079970116,797.4169494,6.0147,2.924,0.943342453,0.458598656,14,Tree
Acaexu1,Acaexu,268,14,2,5794.841667,8.616666667,25.99166667,72.36666667,0.928383252,0.072681815,-0.59261591,797.4169494,6.0147,2.924,2.946876425,1.432601238,14,Tree
Acaexu1,Acaexu,270,14,4,5585.391667,7.6,26.21666667,71.14166667,0.982560431,0.045170627,-0.786963187,797.4169494,6.0147,2.924,2.599179207,1.263570918,14,Tree
Acaexu1,Acaexu,267,18,1,5855.691667,6.908333333,25.775,70.8,0.968511465,0.080674443,-0.555976422,797.4169494,6.0147,2.924,2.362631099,1.14857488,14,Tree
Acaexu1,Acaexu,273,9,7,5437.45,3.383333333,26.275,80.53333333,0.663892412,0.025738538,-1.106441015,797.4169494,6.0147,2.924,1.157090743,0.562510738,14,Tree
Acaexu1,Acaexu,269,0,3,5744.325,0.141666667,23.4,95.55,0.128076798,0.066046468,-0.627863829,797.4169494,6.0147,2.924,0.048449612,0.023553405,14,Tree
Acaexu1,Acaexu,268,15,2,5786.125,8.716666667,25.75833333,71.13333333,0.95652922,0.071536884,-0.59834911,797.4169494,6.0147,2.924,2.981076151,1.449227171,14,Tree
Acaexu1,Acaexu,267,5,1,5927.2,0.133333333,23.40833333,97.625,0.068388945,0.090067039,-0.519063093,797.4169494,6.0147,2.924,0.045599635,0.022167911,14,Tree
Acaexu1,Acaexu,270,15,4,5578.008333,7.383333333,26.21666667,70.90833333,0.990482005,0.044200829,-0.797160704,797.4169494,6.0147,2.924,2.525079799,1.227548063,14,Tree
Acaexu1,Acaexu,269,23,3,5635.858333,0.15,23.425,94.25833333,0.165474503,0.051799407,-0.725627267,797.4169494,6.0147,2.924,0.05129959,0.0249389,14,Tree
Acaexu1,Acaexu,272,7,6,5484.966667,0.175,23.4,97.8,0.063318866,0.031979837,-0.967727224,797.4169494,6.0147,2.924,0.059849521,0.029095383,14,Tree
